species,feature,n_healthy,n_high,healthy_median,low_median,mid_median,high_median,effect_size_high_vs_healthy
kathurupila,deform_width_profile_roughness,30,12,0.263,0.219,0.243,0.253,-0.1
ranawara,colour_pct_necrotic,30,12,1.597,1.735,1.088,1.378,-0.1
kathurupila,scar_tissue_ratio,30,12,0.313,0.324,0.348,0.323,0.11
kathurupila,ldsi_scar_sub,30,12,31.336,32.445,34.756,32.288,0.11
wal_kollu,boundary_margin_deficit_ratio,30,12,0.145,0.163,0.151,0.15,0.11
kattakumanjal,necrotic_spot_count,30,12,11.5,19.5,17.0,10.0,-0.12
kattakumanjal,ldsi_scar_sub,30,12,33.489,32.371,35.242,34.91,0.12
ranawara,hole_area_ratio,30,12,0.028,0.034,0.028,0.03,0.12
kattakumanjal,scar_tissue_ratio,30,12,0.335,0.324,0.352,0.349,0.12
nil_awariya,ldsi_colour_sub,30,12,14.917,14.109,10.948,14.05,-0.13
kalawal,boundary_margin_deficit_ratio,30,12,0.159,0.134,0.141,0.166,0.13
kathurupila,spot_area_ratio,30,12,0.042,0.013,0.013,0.012,-0.13
nil_awariya,colour_pct_necrotic,30,12,44.696,42.174,31.97,41.809,-0.14
beli,boundary_contour_roughness,30,12,1.115,1.121,1.119,1.12,0.14
ranawara,necrotic_spot_count,30,12,10.0,13.5,9.0,11.0,0.15
ranawara,spot_count,30,12,10.0,13.5,9.0,11.0,0.15
ranawara,texture_h_lbp_entropy,30,12,3.039,3.271,3.08,3.068,0.16
nil_awariya,spot_mean_size,30,12,386.477,262.844,212.951,340.564,-0.16
ranawara,colour_pct_pale_patch,30,12,0.557,0.84,0.677,0.639,0.17
maha_undupiyaliya,ldsi_scar_sub,30,12,21.951,21.525,11.218,25.928,0.17
maha_undupiyaliya,scar_tissue_ratio,30,12,0.22,0.215,0.112,0.259,0.17
kattakumanjal,spot_count,30,12,12.0,19.5,17.0,10.0,-0.17
ranawara,spot_area_ratio,30,12,0.014,0.014,0.007,0.009,-0.18
maha_undupiyaliya,deform_width_profile_roughness,30,12,0.144,0.136,0.15,0.154,0.18
wal_kollu,colour_pct_necrotic,30,12,0.384,0.107,0.423,0.46,0.18
wal_kollu,deform_width_profile_roughness,30,12,0.138,0.15,0.146,0.149,0.2
wal_bilin,hole_area_ratio,30,12,0.002,0.0,0.002,0.004,0.2
wal_bilin,ldsi_hole_sub,30,12,11.506,0.0,11.156,13.243,0.2
maha_undupiyaliya,ldsi_boundary_sub,30,12,6.24,5.564,5.683,5.746,-0.21
wal_kollu,spot_mean_size,30,12,14.5,15.0,17.929,23.567,0.21
kathurupila,ldsi_colour_sub,30,12,3.295,0.995,0.905,1.047,-0.22
nil_awariya,spot_density_per_1000px,30,12,1.081,1.319,1.323,1.19,0.22
siyambala,scar_tissue_ratio,30,12,0.245,0.289,0.221,0.259,0.22
siyambala,ldsi_scar_sub,30,12,24.535,28.868,22.064,25.912,0.22
kasthuri_dehi,boundary_margin_deficit_ratio,30,12,0.008,0.006,0.011,0.007,-0.22
kathurupila,colour_pct_chlorotic,30,12,0.06,0.0,0.0,0.002,-0.22
ranawara,ldsi_scar_sub,30,12,24.856,22.258,22.868,25.914,0.23
ranawara,scar_tissue_ratio,30,12,0.249,0.223,0.229,0.259,0.23
ranawara,boundary_contour_roughness,30,12,1.334,1.4,1.404,1.361,0.23
kathurupila,colour_pct_necrotic,30,12,9.714,2.684,2.397,2.302,-0.25
beli,scar_tissue_ratio,30,12,0.189,0.115,0.081,0.106,-0.26
kattakumanjal,deform_luminance_std,30,12,35.519,38.319,34.402,36.805,0.26
beli,ldsi_scar_sub,30,12,18.921,11.472,8.072,10.641,-0.26
nil_awariya,texture_h_glcm_contrast_mean,30,12,12.246,10.788,11.508,10.947,-0.26
ranawara,spot_mean_size,30,12,35.125,28.75,29.75,24.831,-0.26
thunpath_kurundu,texture_h_glcm_contrast_mean,29,12,9.512,9.001,9.371,10.456,0.26
beli,boundary_margin_deficit_ratio,30,12,0.156,0.189,0.154,0.139,-0.27
kasthuri_dehi,texture_h_lbp_entropy,30,12,2.73,2.914,2.842,2.795,0.28
kalawal,ldsi_boundary_sub,30,12,7.21,7.004,6.802,7.728,0.32
kattakumanjal,spot_density_per_1000px,30,12,0.301,0.396,0.308,0.21,-0.32
kattakumanjal,spot_area_ratio,30,12,0.013,0.019,0.017,0.009,-0.32
kattakumanjal,colour_pct_chlorotic,30,12,0.037,0.01,0.006,0.0,-0.34
wal_bilin,texture_h_lbp_entropy,30,12,3.086,3.159,3.075,3.153,0.34
kattakumanjal,boundary_margin_deficit_ratio,30,12,0.189,0.2,0.221,0.211,0.34
beli,spot_area_ratio,30,12,0.002,0.001,0.002,0.003,0.36
thunpath_kurundu,boundary_margin_deficit_ratio,29,12,0.09,0.122,0.144,0.113,0.37
thunpath_kurundu,texture_h_lbp_entropy,29,12,3.115,2.982,2.904,3.002,-0.37
kalawal,spot_mean_size,30,12,44.033,46.167,36.917,32.1,-0.37
kathurupila,spot_mean_size,30,12,78.326,48.155,36.562,40.939,-0.38
nil_awariya,ldsi_hole_sub,30,12,25.151,27.886,30.0,30.0,0.38
maha_undupiyaliya,spot_mean_size,30,12,60.0,159.833,64.0,104.578,0.38
ranawara,spot_density_per_1000px,30,12,0.447,0.445,0.264,0.346,-0.38
ranawara,hole_count,30,12,13.0,20.0,16.5,17.0,0.4
siyambala,colour_pct_pale_patch,30,12,0.578,0.552,0.476,0.512,-0.4
kalawal,spot_area_ratio,30,12,0.011,0.011,0.009,0.009,-0.41
kattakumanjal,deform_width_profile_roughness,30,12,0.28,0.22,0.27,0.229,-0.42
kalawal,colour_pct_necrotic,30,12,2.243,2.231,1.809,1.791,-0.42
wal_kollu,deform_luminance_std,30,12,28.48,26.773,27.551,29.903,0.42
kalawal,necrotic_spot_count,30,12,10.5,10.5,7.5,13.0,0.43
